folder,snd,entry,set_name,count,rmse,corr
dry,BASS-WOO.SND,2,BASS-WOOD,31520,31.029845073856183,0.9999608838089715
dry,CONGA_HI.SND,4,CONGA_HIGH,11280,29.501860534539393,0.9999657749324422
dry,CONGA_LO.snd,5,CONGA_LOW,15120,32.95164986590224,0.9999840326991328
dry,CRASH2_H.SND,1,CRASH2_H,39800,34.62287109611009,0.9998674974845022
dry,CRASH_#1.SND,24,CRASH_#1,100000,34.70320059579495,0.9998581379161569
dry,DRY_RIM.SND,3,DRY_RIM,7160,28.639787047629994,0.999918921281939
dry,HAT1CLSD.SND,0,HAT1CLSD,3880,33.93265809780252,0.9995694586522718
dry,HAT1MED.SND,20,HAT1MED,13720,36.154713222666594,0.9998898097009351
dry,HAT1OPN.SND,21,HAT1OPN,26160,35.37783819946431,0.9998323305945117
dry,KICK#1.SND,22,KiCK#1,7160,29.0459870907072,0.9999836892522307
dry,KIHADA.SND,7,KIHADA,59680,34.25934122346849,0.9997489815986437
dry,RIDE4B.SND,29,RIDE4B,38440,33.94822715825411,0.9995920123566707
dry,RIDE_#1.SND,23,RIDE_#1,56000,34.50345270729786,0.9988272729378418
dry,SOUND008.SND,28,sound008,8720,36.33284564330042,0.9999802199774195
dry,SOUND077.SND,6,sound077,7360,31.62299468190263,0.9992345273746768
dry,TOM#2MID.SND,30,TOM#2MID,35400,22.51925531597562,0.9999726084534616
dry,TOM#2_LO.SND,32,TOM#2_LO,48000,21.374007418139186,0.9999693405683535
live-dr,AZ-CLAP.SND,13,AZ-CLAP,8800,31.73412257194919,0.9999128227822065
live-dr,AZ-CLHH.SND,7,AZ-CLHH,6000,36.26630059402388,0.9974570779248013
live-dr,AZ-KICK.SND,6,AZ-KICK,20000,53.93638883606604,0.9999408217029127
live-dr,AZ-MEHH.SND,8,AZ-MEHH,16000,34.23198630126158,0.9985100037481132
live-dr,AZ-OPHH.SND,9,AZ-OPHH,20000,34.38577069388022,0.9993738643435135
live-dr,AZ-RIM.SND,5,AZ-RIM,18000,33.13344153134933,0.9997511863857487
live-dr,AZ-SNR.SND,4,AZ-SNR,26000,30.776845256329807,0.9998935942898928
live-dr,AZ-TOM1.SND,3,AZ-TOM1,23200,28.216328477189055,0.9999186183271077
live-dr,AZ-TOM2.SND,2,AZ-TOM2,25200,26.680092826114468,0.9999473103189481
live-dr,AZ-TOM3.SND,1,AZ-TOM3,26400,27.44748932037933,0.9999386679977156
live-dr,AZ-TOM4.SND,0,AZ-TOM4,28000,27.521864177264355,0.9999573063077145
live-dr,AZ17-RID.SND,16,AZ17-RIDE,120000,31.922079389582784,0.9978963649576859
live-dr,CONGL.SND,11,CONGL,12000,30.88237742567742,0.9999818042674846
live-dr,CONGS.SND,10,CONGS,11200,30.46464744831293,0.9999336150522116
live-dr,DST-BASS.SND,18,DST-BASS,8000,35.80442621145794,0.9999804203435837
live-dr,SUZU.SND,12,SUZU,28000,34.382929843075274,0.9992620165177342
live-dr,az08-crs.SND,14,AZ08-CRSH,40000,34.08195964948318,0.9991659938802017
live-dr,az14-crs.SND,15,AZ14-CRSH,96000,33.544294599613785,0.9995233520283109
loft-dr,ACB-2-OP.SND,14,ACB-2-Op,18000,26.899121272860963,0.999967354309114
loft-dr,ACB-4.SND,13,ACB-4,16000,27.34456104620049,0.9999156652207813
loft-dr,AD-CLHH.SND,3,AD-CLHH,4000,36.097405350134004,0.9997546210074836
loft-dr,AD-MEHH.SND,4,AD-MEHH,16000,34.94896024964891,0.9998633129243496
loft-dr,AD-OPHH.SND,5,AD-OPHH,28000,34.8554146308601,0.9998519217854196
loft-dr,ADZMTHIN.SND,1,ADZMThin,60000,34.09318525095217,0.9996763315849815
loft-dr,ADZRIDE.SND,2,ADZRide,60000,34.40282687835213,0.9994150235945592
loft-dr,ADZTHINC.SND,0,ADZThinC,72000,34.189466551468094,0.9996083505754985
loft-dr,ATAMB.SND,16,ATamb,16000,33.72405198154491,0.9998649955867018
loft-dr,CABASA-S.SND,15,Cabasa-S,8000,36.44720782016584,0.9997591420258884
loft-dr,DT-4BASS.SND,18,DT-4BASS,12000,34.80452633778534,0.999966627105214
loft-dr,S2AMTOM1.SND,9,S2AmTOM1,28000,25.017410377910597,0.9999695717431472
loft-dr,S2AMTOM2.SND,10,S2AmTOM2,30000,24.772514029903164,0.9999548324776686
loft-dr,S2AMTOM3.SND,11,S2AmTOM3,32000,24.02458741987103,0.9999820005636698
loft-dr,S2AMTOM4.SND,12,S2AmTOM4,40000,23.732211089518255,0.9999658640710293
loft-dr,haracupr.SND,17,HaraCupRIDE5,56000,31.454352429635783,0.998249058803606
loft-dr,psamb1ri.SND,8,PSAmb1RIM,10000,34.66542287895602,0.999920659076101
loft-dr,safeam2k.SND,6,SafeAm2KICK,16000,103.62601485970922,0.9998182074143045
loft-dr,safeam3s.SND,7,SafeAm3SNR,16000,34.89443750698896,0.999967284620384
rock,BASSGUIT.SND,0,BASSGUIT,8000,39.50484364624499,0.9999933396849826
rock,BIG_CLAP.SND,17,BIG_CLAP,24000,33.01954189335049,0.999979542531194
rock,COWBEL#1.SND,18,COWBEL#1,14000,33.66691892658757,0.9999549643416987
rock,CRASH2_H.SND,33,CRASH2_H,39800,34.62287109611009,0.9998674974845022
rock,CRASH2_L.SND,32,CRASH2_L,70676,34.16922940345844,0.9996120204712481
rock,CRASH_MU.snd,23,CRASH_MUTE,28860,33.273484868670366,0.9998399265896053
rock,GONG.SND,26,GONG,52400,33.998541911168374,0.9998372281533204
rock,HAT2CLSD.SND,19,HAT2CLSD,16000,32.75221369060816,0.9998039882699795
rock,HAT2MED.SND,20,HAT2MED,24000,35.40256435501993,0.9997907042821194
rock,HAT2OPN.SND,21,HAT2OPN,40000,35.1316127415699,0.999773315717406
rock,KICK#2.SND,22,KiCK#2,16000,34.70813600031302,0.9999653458640689
rock,METALSHO.snd,31,METALSHOT,10760,33.1003357935237,0.9998541834669805
rock,RIDE4B.SND,16,RIDE4B,38440,33.94822715825411,0.9995920123566707
rock,ROCTOMID.SND,24,ROCTOMID,32000,27.195309170165224,0.999943298298583
rock,ROCTOMLO.SND,27,ROCTOMLO,60000,27.476156768670677,0.9999425490513774
rock,SIDESTK2.SND,29,SIDESTK2,16000,34.514750222437655,0.9999406159788959
rock,SNARE#2.SND,30,SNARE#2,20000,34.87927460934571,0.9999692766154249
samba,AGOGO_HI.SND,6,AGOGO_HIGH,6200,34.25473409339916,0.9995662237728491
samba,AGOGO_LO.snd,7,AGOGO_LOW,7360,32.63122807164244,0.9993639200940729
samba,BONGO1H.SND,8,Bongo1H,12520,28.61822170112682,0.9998995901893326
samba,BONGO2L.SND,9,Bongo2L,17000,30.347607297822748,0.9998888005729415
samba,CABASA2.SND,26,CABASA2,7320,38.11699026017653,0.9998139147995285
samba,CASTA-1.SND,27,CASTA-1,1760,35.83442974676427,0.9999533721636524
samba,CLAVES.SND,25,CLAVES,2800,34.02951591921372,0.999878911739295
samba,CONGA2.SND,4,Conga2,15840,31.04057219729363,0.9998151820461669
samba,CONGA2L.SND,5,Conga2L,15600,24.827929739360904,0.9999586767160283
samba,COWBELL2.SND,10,Cowbell2,13480,30.21182328635863,0.9997752546153217
samba,GIRO-2.SND,28,GIRO-2,8000,35.69544966109016,0.9999666991946335
samba,HAT2CLSD.SND,19,HAT2CLSD,16000,32.75221369060816,0.9998039882699795
