input_signed12_start,input_signed12_end_inclusive,output_signed12,length
-2048,-2048,-1307,1
-2047,-2047,-1051,1
-2046,-2046,-1307,1
-2045,-2042,-1051,4
-2041,-2036,-795,6
-2035,-2030,-539,6
-2029,-2026,-283,4
-2025,-2021,-27,5
-2020,-2015,230,6
-2014,-2010,742,5
-2009,-2005,998,5
-2004,-2000,1254,5
-1999,-1996,1510,4
-1995,-1990,1766,6
-1989,-1984,2022,6
-1983,-1979,-1818,5
-1978,-1975,-1562,4
-1974,-1969,-1306,6
-1968,-1964,-1050,5
-1963,-1958,-794,6
-1957,-1953,-538,5
-1952,-1949,-282,4
-1948,-1943,-26,6
-1942,-1937,231,6
-1936,-1933,743,4
-1932,-1928,999,5
-1927,-1922,1255,6
-1921,-1918,1511,4
-1917,-1917,1767,1
-1916,-1916,1511,1
-1915,-1912,1767,4
-1911,-1906,2023,6
-1905,-1902,-1817,4
-1901,-1897,-1561,5
-1896,-1891,-1305,6
-1890,-1885,-1049,6
-1884,-1881,-793,4
-1880,-1876,-537,5
-1875,-1872,-281,4
-1871,-1871,-25,1
-1870,-1870,-281,1
-1869,-1866,-25,4
-1865,-1860,232,6
-1859,-1855,744,5
-1854,-1851,1000,4
-1850,-1845,1256,6
-1844,-1839,1512,6
-1838,-1834,1768,5
-1833,-1829,2024,5
-1828,-1824,-1816,5
-1823,-1819,-1560,5
-1818,-1814,-1304,5
-1813,-1808,-1048,6
-1807,-1803,-792,5
-1802,-1799,-536,4
-1798,-1793,-280,6
-1792,-1788,-24,5
-1787,-1782,233,6
-1781,-1778,745,4
-1777,-1773,1001,5
-1772,-1767,1257,6
-1766,-1761,1513,6
-1760,-1756,1769,5
-1755,-1752,2025,4
-1751,-1746,-1815,6
-1745,-1742,-1559,4
-1741,-1741,-1303,1
-1740,-1740,-1559,1
-1739,-1736,-1303,4
-1735,-1731,-1047,5
-1730,-1725,-791,6
-1724,-1721,-535,4
-1720,-1715,-279,6
-1714,-1709,-23,6
-1708,-1705,234,4
-1704,-1700,746,5
-1699,-1694,1002,6
-1693,-1690,1258,4
-1689,-1684,1514,6
-1683,-1679,1770,5
-1678,-1675,2026,4
-1674,-1669,-1814,6
-1668,-1663,-1558,6
-1662,-1658,-1302,5
-1657,-1654,-1046,4
-1653,-1648,-790,6
-1647,-1643,-534,5
-1642,-1637,-278,6
-1636,-1632,-22,5
-1631,-1628,235,4
-1627,-1623,747,5
-1622,-1617,1003,6
-1616,-1611,1259,6
-1610,-1606,1515,5
-1605,-1602,1771,4
-1601,-1597,2027,5
-1596,-1591,-1813,6
-1590,-1585,-1557,6
-1584,-1581,-1301,4
-1580,-1576,-1045,5
-1575,-1570,-789,6
-1569,-1564,-533,6
-1563,-1560,-277,4
-1559,-1555,-21,5
-1554,-1549,236,6
-1548,-1545,748,4
-1544,-1539,1004,6
-1538,-1534,1260,5
-1533,-1529,1516,5
-1528,-1524,1772,5
-1523,-1518,2028,6
-1517,-1514,-1812,4
-1513,-1508,-1556,6
-1507,-1503,-1300,5
-1502,-1499,-1044,4
-1498,-1493,-788,6
-1492,-1487,-532,6
-1486,-1482,-276,5
-1481,-1478,-20,4
-1477,-1472,237,6
-1471,-1466,749,6
-1465,-1461,1005,5
-1460,-1457,1261,4
-1456,-1452,1517,5
-1451,-1446,1773,6
-1445,-1440,2029,6
-1439,-1435,-1811,5
-1434,-1431,-1555,4
-1430,-1426,-1299,5
-1425,-1420,-1043,6
-1419,-1415,-787,5
-1414,-1409,-531,6
-1408,-1405,-275,4
-1404,-1400,-19,5
-1399,-1394,238,6
-1393,-1388,750,6
-1387,-1384,1006,4
-1383,-1379,1262,5
-1378,-1373,1518,6
-1372,-1369,1774,4
-1368,-1363,2030,6
-1362,-1358,-1810,5
-1357,-1354,-1554,4
-1353,-1348,-1298,6
-1347,-1342,-1042,6
-1341,-1338,-786,4
-1337,-1332,-530,6
-1331,-1327,-274,5
-1326,-1323,-18,4
-1322,-1317,239,6
-1316,-1311,751,6
-1310,-1307,1007,4
-1306,-1302,1263,5
-1301,-1296,1519,6
-1295,-1290,1775,6
-1289,-1285,2031,5
-1284,-1281,-1809,4
-1280,-1275,-1553,6
-1274,-1270,-1297,5
-1269,-1264,-1041,6
-1263,-1260,-785,4
-1259,-1255,-529,5
-1254,-1249,-273,6
-1248,-1243,-17,6
-1242,-1239,240,4
-1238,-1234,752,5
-1233,-1229,1008,5
-1228,-1224,1264,5
-1223,-1218,1520,6
-1217,-1212,1776,6
-1211,-1208,2032,4
-1207,-1203,-1808,5
-1202,-1197,-1552,6
-1196,-1193,-1296,4
-1192,-1192,-1040,1
-1191,-1191,-1296,1
-1190,-1187,-1040,4
-1186,-1182,-784,5
-1181,-1178,-528,4
-1177,-1172,-272,6
-1171,-1166,-16,6
-1165,-1161,241,5
-1160,-1157,753,4
-1156,-1151,1009,6
-1150,-1147,1265,4
-1146,-1146,1521,1
-1145,-1145,1265,1
-1144,-1141,1521,4
-1140,-1135,1777,6
-1134,-1130,2033,5
-1129,-1126,-1807,4
-1125,-1120,-1551,6
-1119,-1114,-1295,6
-1113,-1110,-1039,4
-1109,-1105,-783,5
-1104,-1099,-527,6
-1098,-1094,-271,5
-1093,-1088,-15,6
-1087,-1084,242,4
-1083,-1079,754,5
-1078,-1073,1010,6
-1072,-1067,1266,6
-1066,-1063,1522,4
-1062,-1058,1778,5
-1057,-1052,2034,6
-1051,-1048,-1806,4
-1047,-1042,-1550,6
-1041,-1037,-1294,5
-1036,-1033,-1038,4
-1032,-1027,-782,6
-1026,-1021,-526,6
-1020,-1017,-270,4
-1016,-1016,-14,1
-1015,-1015,-270,1
-1014,-1011,-14,4
-1010,-1006,243,5
-1005,-1002,755,4
-1001,-1001,1011,1
-1000,-1000,755,1
-999,-996,1011,4
-995,-990,1267,6
-989,-985,1523,5
-984,-981,1779,4
-980,-975,2035,6
-974,-969,-1805,6
-968,-964,-1549,5
-963,-960,-1293,4
-959,-956,-1037,4
-955,-955,-781,1
-954,-954,-1037,1
-953,-950,-781,4
-949,-944,-525,6
-943,-938,-269,6
-937,-934,-13,4
-933,-929,244,5
-928,-923,756,6
-922,-918,1012,5
-917,-913,1268,5
-912,-908,1524,5
-907,-903,1780,5
-902,-897,2036,6
-896,-891,-1804,6
-890,-887,-1548,4
-886,-882,-1292,5
-881,-876,-1036,6
-875,-872,-780,4
-871,-871,-524,1
-870,-870,-780,1
-869,-866,-524,4
-865,-861,-268,5
-860,-857,-12,4
-856,-851,245,6
-850,-845,757,6
-844,-841,1013,4
-840,-836,1269,5
-835,-830,1525,6
-829,-826,1781,4
-825,-825,2037,1
-824,-824,1781,1
-823,-820,2037,4
-819,-814,-1803,6
-813,-809,-1547,5
-808,-805,-1291,4
-804,-799,-1035,6
-798,-793,-779,6
-792,-789,-523,4
-788,-784,-267,5
-783,-778,-11,6
-777,-773,246,5
-772,-767,758,6
-766,-763,1014,4
-762,-759,1270,4
-758,-753,1526,6
-752,-747,1782,6
-746,-742,2038,5
-741,-737,-1802,5
-736,-732,-1546,5
-731,-727,-1290,5
-726,-721,-1034,6
-720,-716,-778,5
-715,-711,-522,5
-710,-706,-266,5
-705,-700,-10,6
-699,-696,247,4
-695,-695,759,1
-694,-694,247,1
-693,-690,759,4
-689,-685,1015,5
-684,-681,1271,4
-680,-680,1527,1
-679,-679,1271,1
-678,-675,1527,4
-674,-669,1783,6
-668,-664,2039,5
-663,-660,-1801,4
-659,-654,-1545,6
-653,-648,-1289,6
-647,-644,-1033,4
-643,-639,-777,5
-638,-633,-521,6
-632,-629,-265,4
-628,-623,-9,6
-622,-617,248,6
-616,-613,760,4
-612,-608,1016,5
-607,-602,1272,6
-601,-597,1528,5
-596,-592,1784,5
-591,-587,2040,5
-586,-582,-1800,5
-581,-576,-1544,6
-575,-571,-1288,5
-570,-566,-1032,5
-565,-562,-776,4
-561,-556,-520,6
-555,-551,-264,5
-550,-545,-8,6
-544,-540,249,5
-539,-536,761,4
-535,-530,1017,6
-529,-524,1273,6
-523,-519,1529,5
-518,-514,1785,5
-513,-509,2041,5
-508,-505,-1799,4
-504,-504,-1543,1
-503,-503,-1799,1
-502,-499,-1543,4
-498,-493,-1287,6
-492,-488,-1031,5
-487,-484,-775,4
-483,-478,-519,6
-477,-472,-263,6
-471,-468,-7,4
-467,-463,250,5
-462,-457,762,6
-456,-453,1018,4
-452,-447,1274,6
-446,-442,1530,5
-441,-437,1786,5
-436,-432,2042,5
-431,-426,-1798,6
-425,-421,-1542,5
-420,-416,-1286,5
-415,-411,-1030,5
-410,-406,-774,5
-405,-400,-518,6
-399,-395,-262,5
-394,-390,-6,5
-389,-385,251,5
-384,-380,763,5
-379,-374,1019,6
-373,-369,1275,5
-368,-365,1531,4
-364,-360,1787,5
-359,-354,2043,6
-353,-348,-1797,6
-347,-343,-1541,5
-342,-339,-1285,4
-338,-333,-1029,6
-332,-327,-773,6
-326,-323,-517,4
-322,-317,-261,6
-316,-312,-5,5
-311,-308,252,4
-307,-302,764,6
-301,-296,1020,6
-295,-292,1276,4
-291,-287,1532,5
-286,-281,1788,6
-280,-277,2044,4
-276,-271,-1796,6
-270,-266,-1540,5
-265,-262,-1284,4
-261,-256,-1028,6
-255,-250,-772,6
-249,-245,-516,5
-244,-240,-260,5
-239,-235,-4,5
-234,-229,253,6
-228,-224,765,5
-223,-219,1021,5
-218,-215,1277,4
-214,-209,1533,6
-208,-203,1789,6
-202,-198,2045,5
-197,-193,-1795,5
-192,-189,-1539,4
-188,-183,-1283,6
-182,-178,-1027,5
-177,-172,-771,6
-171,-168,-515,4
-167,-163,-259,5
-162,-157,-3,6
-156,-151,254,6
-150,-147,766,4
-146,-142,1022,5
-141,-136,1278,6
-135,-132,1534,4
-131,-126,1790,6
-125,-120,2046,6
-119,-116,-1794,4
-115,-111,-1538,5
-110,-105,-1282,6
-104,-99,-1026,6
-98,-95,-770,4
-94,-90,-514,5
-89,-86,-258,4
-85,-80,-2,6
-79,-74,255,6
-73,-69,767,5
-68,-65,1023,4
-64,-59,1279,6
-58,-53,1535,6
-52,-48,1791,5
-47,-43,2047,5
-42,-38,-1793,5
-37,-33,-1537,5
-32,-27,-1281,6
-26,-22,-1025,5
-21,-18,-769,4
-17,-12,-513,6
-11,-6,-257,6
-5,-2,-1,4
-1,4,0,6
5,8,256,4
9,13,512,5
14,19,768,6
20,25,1024,6
26,29,1280,4
30,34,1536,5
35,40,1792,6
