input_code,input_signed12,input_s16,mpc60_code,mpc60_signed12,interior_unique_count,interior_majority_count,interior_codes
0,-2048,-32768,2789,-1307,1,8,2789 2789 2789 2789 2789 2789 2789 2789
1,-2047,-32752,3045,-1051,1,8,3045 3045 3045 3045 3045 3045 3045 3045
2,-2046,-32736,2789,-1307,1,8,2789 2789 2789 2789 2789 2789 2789 2789
3,-2045,-32720,3045,-1051,1,8,3045 3045 3045 3045 3045 3045 3045 3045
4,-2044,-32704,3045,-1051,1,8,3045 3045 3045 3045 3045 3045 3045 3045
5,-2043,-32688,3045,-1051,1,8,3045 3045 3045 3045 3045 3045 3045 3045
6,-2042,-32672,3045,-1051,1,8,3045 3045 3045 3045 3045 3045 3045 3045
7,-2041,-32656,3301,-795,1,8,3301 3301 3301 3301 3301 3301 3301 3301
8,-2040,-32640,3301,-795,1,8,3301 3301 3301 3301 3301 3301 3301 3301
9,-2039,-32624,3301,-795,1,8,3301 3301 3301 3301 3301 3301 3301 3301
10,-2038,-32608,3301,-795,1,8,3301 3301 3301 3301 3301 3301 3301 3301
11,-2037,-32592,3301,-795,1,8,3301 3301 3301 3301 3301 3301 3301 3301
12,-2036,-32576,3301,-795,1,8,3301 3301 3301 3301 3301 3301 3301 3301
13,-2035,-32560,3557,-539,1,8,3557 3557 3557 3557 3557 3557 3557 3557
14,-2034,-32544,3557,-539,1,8,3557 3557 3557 3557 3557 3557 3557 3557
15,-2033,-32528,3557,-539,1,8,3557 3557 3557 3557 3557 3557 3557 3557
16,-2032,-32512,3557,-539,1,8,3557 3557 3557 3557 3557 3557 3557 3557
17,-2031,-32496,3557,-539,1,8,3557 3557 3557 3557 3557 3557 3557 3557
18,-2030,-32480,3557,-539,1,8,3557 3557 3557 3557 3557 3557 3557 3557
19,-2029,-32464,3813,-283,1,8,3813 3813 3813 3813 3813 3813 3813 3813
20,-2028,-32448,3813,-283,1,8,3813 3813 3813 3813 3813 3813 3813 3813
21,-2027,-32432,3813,-283,1,8,3813 3813 3813 3813 3813 3813 3813 3813
22,-2026,-32416,3813,-283,1,8,3813 3813 3813 3813 3813 3813 3813 3813
23,-2025,-32400,4069,-27,1,8,4069 4069 4069 4069 4069 4069 4069 4069
24,-2024,-32384,4069,-27,1,8,4069 4069 4069 4069 4069 4069 4069 4069
25,-2023,-32368,4069,-27,1,8,4069 4069 4069 4069 4069 4069 4069 4069
26,-2022,-32352,4069,-27,1,8,4069 4069 4069 4069 4069 4069 4069 4069
27,-2021,-32336,4069,-27,1,8,4069 4069 4069 4069 4069 4069 4069 4069
28,-2020,-32320,230,230,1,8,230 230 230 230 230 230 230 230
29,-2019,-32304,230,230,1,8,230 230 230 230 230 230 230 230
30,-2018,-32288,230,230,1,8,230 230 230 230 230 230 230 230
31,-2017,-32272,230,230,1,8,230 230 230 230 230 230 230 230
32,-2016,-32256,230,230,1,8,230 230 230 230 230 230 230 230
33,-2015,-32240,230,230,1,8,230 230 230 230 230 230 230 230
34,-2014,-32224,742,742,1,8,742 742 742 742 742 742 742 742
35,-2013,-32208,742,742,1,8,742 742 742 742 742 742 742 742
36,-2012,-32192,742,742,1,8,742 742 742 742 742 742 742 742
37,-2011,-32176,742,742,1,8,742 742 742 742 742 742 742 742
38,-2010,-32160,742,742,1,8,742 742 742 742 742 742 742 742
39,-2009,-32144,998,998,1,8,998 998 998 998 998 998 998 998
40,-2008,-32128,998,998,1,8,998 998 998 998 998 998 998 998
41,-2007,-32112,998,998,1,8,998 998 998 998 998 998 998 998
42,-2006,-32096,998,998,1,8,998 998 998 998 998 998 998 998
43,-2005,-32080,998,998,1,8,998 998 998 998 998 998 998 998
44,-2004,-32064,1254,1254,1,8,1254 1254 1254 1254 1254 1254 1254 1254
45,-2003,-32048,1254,1254,1,8,1254 1254 1254 1254 1254 1254 1254 1254
46,-2002,-32032,1254,1254,1,8,1254 1254 1254 1254 1254 1254 1254 1254
47,-2001,-32016,1254,1254,1,8,1254 1254 1254 1254 1254 1254 1254 1254
48,-2000,-32000,1254,1254,1,8,1254 1254 1254 1254 1254 1254 1254 1254
49,-1999,-31984,1510,1510,1,8,1510 1510 1510 1510 1510 1510 1510 1510
50,-1998,-31968,1510,1510,1,8,1510 1510 1510 1510 1510 1510 1510 1510
51,-1997,-31952,1510,1510,1,8,1510 1510 1510 1510 1510 1510 1510 1510
52,-1996,-31936,1510,1510,1,8,1510 1510 1510 1510 1510 1510 1510 1510
53,-1995,-31920,1766,1766,1,8,1766 1766 1766 1766 1766 1766 1766 1766
54,-1994,-31904,1766,1766,1,8,1766 1766 1766 1766 1766 1766 1766 1766
55,-1993,-31888,1766,1766,1,8,1766 1766 1766 1766 1766 1766 1766 1766
56,-1992,-31872,1766,1766,1,8,1766 1766 1766 1766 1766 1766 1766 1766
