input_signed12,output_median_signed12,late32_unique_count,late32_min,late32_max
-2048,-452,1,-452,-452
-2047,-451,1,-451,-451
-2046,-452,1,-452,-452
-2045,-451,1,-451,-451
-2044,-451,1,-451,-451
-2043,-451,1,-451,-451
-2042,-451,1,-451,-451
-2041,-450,1,-450,-450
-2040,-450,1,-450,-450
-2039,-450,1,-450,-450
-2038,-450,1,-450,-450
-2037,-450,1,-450,-450
-2036,-450,1,-450,-450
-2035,-449,1,-449,-449
-2034,-449,1,-449,-449
-2033,-449,1,-449,-449
-2032,-449,1,-449,-449
-2031,-449,1,-449,-449
-2030,-449,1,-449,-449
-2029,-448,1,-448,-448
-2028,-448,1,-448,-448
-2027,-448,1,-448,-448
-2026,-448,1,-448,-448
-2025,-446,1,-446,-446
-2024,-446,1,-446,-446
-2023,-446,1,-446,-446
-2022,-446,1,-446,-446
-2021,-446,1,-446,-446
-2020,-445,1,-445,-445
-2019,-445,1,-445,-445
-2018,-445,1,-445,-445
-2017,-445,1,-445,-445
-2016,-445,1,-445,-445
-2015,-445,1,-445,-445
-2014,-444,1,-444,-444
-2013,-444,1,-444,-444
-2012,-444,1,-444,-444
-2011,-444,1,-444,-444
-2010,-444,1,-444,-444
-2009,-443,1,-443,-443
-2008,-443,1,-443,-443
-2007,-443,1,-443,-443
-2006,-443,1,-443,-443
-2005,-443,1,-443,-443
-2004,-442,1,-442,-442
-2003,-442,1,-442,-442
-2002,-442,1,-442,-442
-2001,-442,1,-442,-442
-2000,-442,1,-442,-442
-1999,-441,1,-441,-441
-1998,-441,1,-441,-441
-1997,-441,1,-441,-441
-1996,-441,1,-441,-441
-1995,-440,1,-440,-440
-1994,-440,1,-440,-440
-1993,-440,1,-440,-440
-1992,-440,1,-440,-440
-1991,-440,1,-440,-440
-1990,-440,1,-440,-440
-1989,-438,1,-438,-438
-1988,-438,1,-438,-438
-1987,-438,1,-438,-438
-1986,-438,1,-438,-438
-1985,-438,1,-438,-438
-1984,-438,1,-438,-438
-1983,-437,1,-437,-437
-1982,-437,1,-437,-437
-1981,-437,1,-437,-437
-1980,-437,1,-437,-437
-1979,-437,1,-437,-437
-1978,-436,1,-436,-436
-1977,-436,1,-436,-436
-1976,-436,1,-436,-436
-1975,-436,1,-436,-436
-1974,-435,1,-435,-435
-1973,-435,1,-435,-435
-1972,-435,1,-435,-435
-1971,-435,1,-435,-435
-1970,-435,1,-435,-435
-1969,-435,1,-435,-435
-1968,-434,1,-434,-434
-1967,-434,1,-434,-434
-1966,-434,1,-434,-434
-1965,-434,1,-434,-434
-1964,-434,1,-434,-434
-1963,-433,1,-433,-433
-1962,-433,1,-433,-433
-1961,-433,1,-433,-433
-1960,-433,1,-433,-433
-1959,-433,1,-433,-433
-1958,-433,1,-433,-433
-1957,-432,1,-432,-432
-1956,-432,1,-432,-432
-1955,-432,1,-432,-432
-1954,-432,1,-432,-432
-1953,-432,1,-432,-432
-1952,-430,1,-430,-430
-1951,-430,1,-430,-430
-1950,-430,1,-430,-430
-1949,-430,1,-430,-430
-1948,-429,1,-429,-429
-1947,-429,1,-429,-429
-1946,-429,1,-429,-429
-1945,-429,1,-429,-429
-1944,-429,1,-429,-429
-1943,-429,1,-429,-429
-1942,-428,1,-428,-428
-1941,-428,1,-428,-428
-1940,-428,1,-428,-428
-1939,-428,1,-428,-428
-1938,-428,1,-428,-428
-1937,-428,1,-428,-428
-1936,-427,1,-427,-427
-1935,-427,1,-427,-427
-1934,-427,1,-427,-427
-1933,-427,1,-427,-427
-1932,-426,1,-426,-426
-1931,-426,1,-426,-426
-1930,-426,1,-426,-426
-1929,-426,1,-426,-426
-1928,-426,1,-426,-426
-1927,-425,1,-425,-425
-1926,-425,1,-425,-425
-1925,-425,1,-425,-425
-1924,-425,1,-425,-425
-1923,-425,1,-425,-425
-1922,-425,1,-425,-425
-1921,-424,1,-424,-424
-1920,-424,1,-424,-424
-1919,-424,1,-424,-424
-1918,-424,1,-424,-424
-1917,-422,1,-422,-422
-1916,-424,1,-424,-424
-1915,-422,1,-422,-422
-1914,-422,1,-422,-422
-1913,-422,1,-422,-422
-1912,-422,1,-422,-422
-1911,-421,1,-421,-421
-1910,-421,1,-421,-421
-1909,-421,1,-421,-421
-1908,-421,1,-421,-421
-1907,-421,1,-421,-421
-1906,-421,1,-421,-421
